Category,Subcategory,Combined (shown in the form),URI,Definition,Examples,#NAME?,,,,,,,,,,,,,,,,,,,,
Data Preparation,Data Transformation ,Data Preparation: Data Transformation ,http://cor.esipfed.org/ont/earthcube/SFO_0000310,Functions that transform the representation of the data.,"spatial transformation, format conversion, interpolation, regridding, etc.",,,,,,,,,,,,,,,,,,,,,
Data Preparation,Data Desensitization ,Data Preparation: Data Desensitization ,http://cor.esipfed.org/ont/earthcube/SFO_0000043,"Functions that allow users to anonymize, deidentify, blur or otherwise alter or hide portions of data to protect information because of ethical and legal issues","ARX Data Anonymization Tool, Amnesia, sdcMicro",,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Grid or Mesh Generation,Data Processing / Modeling: Grid or Mesh Generation,http://cor.esipfed.org/ont/earthcube/SFO_0000044,Functions that generate geometrical shapes that cover a physical domain.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Test Data Generation,Data Processing / Modeling: Test Data Generation,http://cor.esipfed.org/ont/earthcube/SFO_0000045,Functions that generate test data.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Output Validation,Data Processing / Modeling: Output Validation,http://cor.esipfed.org/ont/earthcube/SFO_0000046,Functions used to validate the output products of processing or modeling softare.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Model Coupling,Data Processing / Modeling: Model Coupling,http://cor.esipfed.org/ont/earthcube/SFO_0000047,Functions that allow the outputs of one model to feed into another model.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Data Processing,Data Processing / Modeling: Data Processing,http://cor.esipfed.org/ont/earthcube/SFO_0000048,Functions that convert data into a useable and desired form.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Computational Model,Data Processing / Modeling: Computational Model,http://cor.esipfed.org/ont/earthcube/SFO_0000049,Functions that allow users to computationally model physical processes.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Model Calibration,Data Processing / Modeling: Model Calibration,http://cor.esipfed.org/ont/earthcube/SFO_0000050,Functions that allow users to adjust model parameters and forcings so that model outputs match observed values.,,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Inversion / Data assimilation,Data Processing / Modeling: Inversion / Data assimilation,http://cor.esipfed.org/ont/earthcube/SFO_0000051,"Functions that optimally combine theory, often in the form of models, with available data.",,,,,,,,,,,,,,,,,,,,,,
Data Processing / Modeling,Data Integration,Data Processing / Modeling: Data Integration,http://cor.esipfed.org/ont/earthcube/SFO_0000053,"Functions that combine data from different sources into a single, unified view.",,,,,,,,,,,,,,,,,,,,,,
Workflow Management,Reproducibility Support,Workflow Management: Reproducibility Support,http://cor.esipfed.org/ont/earthcube/SFO_0000100,Functions that enable a workflow process to be reproduced.,,,,,,,,,,,,,,,,,,,,,,
Workflow Management,Provenance Management,Workflow Management: Provenance Management,http://cor.esipfed.org/ont/earthcube/SFO_0000101,"Functions that enable management of the provenance of 1) the definition of a workflow, 2) a workflow run, and 3) the data used or created by the workflow.",,,,,,,,,,,,,,,,,,,,,,
Workflow Management,Workflow Design,Workflow Management: Workflow Design,http://cor.esipfed.org/ont/earthcube/SFO_0000102,Functions that enable the design or development of an orchestrated and repeatable pattern of activity.,,,,,,,,,,,,,,,,,,,,,,
Workflow Management,Workflow Orchestration,Workflow Management: Workflow Orchestration,http://cor.esipfed.org/ont/earthcube/SFO_0000103,"Functions that enable arrangement, coordination, and management of a complex series of processes that depend on one another for their proper functioning.",,,,,,,,,,,,,,,,,,,,,,
Workflow Management,Workflow Execution,Workflow Management: Workflow Execution,http://cor.esipfed.org/ont/earthcube/SFO_0000104,,,,,,,,,,,,,,,,,,,,,,,
Data Analysis,TIme Series Analysis,Data Analysis: TIme Series Analysis,http://cor.esipfed.org/ont/earthcube/SFO_0000054,Functions that use statistical methods to analyze time series data and extract meaningful statistics and characteristics about the data.,,,,,,,,,,,,,,,,,,,,,,
Data Analysis,Spatial Analysis,Data Analysis: Spatial Analysis,http://cor.esipfed.org/ont/earthcube/SFO_0000055,"Functions that use formal techniques to study entities using their topological, geometric, or geographic properties",,,,,,,,,,,,,,,,,,,,,,
Data Analysis,Statistical Analysis,Data Analysis: Statistical Analysis,http://cor.esipfed.org/ont/earthcube/SFO_0000056,"Functions for collecting, exploring and presenting large amounts of data to discover underlying patterns and trends.",,,,,,,,,,,,,,,,,,,,,,
Data Analysis,Image Processing,Data Analysis: Image Processing,http://cor.esipfed.org/ont/earthcube/SFO_0000057,Functions that allow quantitative analyses and/or algorithms applied to digital image (including multimedia) data.,,,,,,,,,,,,,,,,,,,,,,
Data Analysis,Text Analysis,Data Analysis: Text Analysis,http://cor.esipfed.org/ont/earthcube/SFO_0000058,"Functions that parse texts in order to extract machine-readable facts from them, thereby creating structured data out of free text content.",,,,,,,,,,,,,,,,,,,,,,
Data Analysis,Graph/Network Analysis,Data Analysis: Graph/Network Analysis,http://cor.esipfed.org/ont/earthcube/SFO_0000059,Structured techniques used to mathematically analyze a network of interconnected components.,,,,,,,,,,,,,,,,,,,,,,
Data Analysis,Machine Learning,Data Analysis: Machine Learning,http://cor.esipfed.org/ont/earthcube/SFO_0000060,"Functions (i.e., algorithms and statistical models) used to perform a specific task without using explicit instructions, relying on patterns and inference observed in input test data instead.",,,,,,,,,,,,,,,,,,,,,,
Visualization,Display,Visualization: Display,http://cor.esipfed.org/ont/earthcube/SFO_0000062,Functions that present data and information in a form suitable for visual perception and decision-making by a person.,,,,,,,,,,,,,,,,,,,,,,
Visualization,Animation,Visualization: Animation,http://cor.esipfed.org/ont/earthcube/SFO_0000063,Functions used to manipulate images or data so they appear as moving images.,,,,,,,,,,,,,,,,,,,,,,
Visualization,Rendering,Visualization: Rendering,http://cor.esipfed.org/ont/earthcube/SFO_0000064,Functions used to generate two-dimensional or three-dimensional images from a model.,,,,,,,,,,,,,,,,,,,,,,
Reporting ,Document generation,Reporting : Document generation,http://cor.esipfed.org/ont/earthcube/SFO_0000065,Functions that automate or partly automate the generation of documentation.,,,,,,,,,,,,,,,,,,,,,,
Reporting ,Report Rendering,Reporting : Report Rendering,http://cor.esipfed.org/ont/earthcube/SFO_0000066,Functions that transforms report data and layout information into a specific format.,,,,,,,,,,,,,,,,,,,,,,
Reporting ,Data Reporting,Reporting : Data Reporting,http://cor.esipfed.org/ont/earthcube/SFO_0000067,Functions to collect and submit data so that accurate analyses of the facts on the ground can be performed.,,,,,,,,,,,,,,,,,,,,,,
Reporting ,Usage Monitoring,Reporting : Usage Monitoring,http://cor.esipfed.org/ont/earthcube/SFO_0000068,Functions that allow the usage of a resource to be monitored.,,,,,,,,,,,,,,,,,,,,,,
Data Preservation,Long-term Archiving,Data Preservation: Long-term Archiving,http://cor.esipfed.org/ont/earthcube/SFO_0000105,"Functions that enable data to remain accessible and usable for a period of time long enough for there to be concern about the impacts of changing technologies, including support for new media and data formats, and of a changing Designated Community.",,,,,,,,,,,,,,,,,,,,,,
Data Preservation,Backup,Data Preservation: Backup,http://cor.esipfed.org/ont/earthcube/SFO_0000106,Functions that enable the making copies of data or data files to use in the event the original data or data files are lost or destroyed.,,,,,,,,,,,,,,,,,,,,,,
Data Preservation,Data Migration,Data Preservation: Data Migration,http://cor.esipfed.org/ont/earthcube/SFO_0000107,"Functions that enable the preservation of digital information, through transformation of the full information content from one form to another.",,,,,,,,,,,,,,,,,,,,,,
Programmer Assistance,Version Control,Programmer Assistance: Version Control,http://cor.esipfed.org/ont/earthcube/SFO_0000071,Functions that track changes made to a digital asset over time,,,,,,,,,,,,,,,,,,,,,,
Programmer Assistance,Code Optimization,Programmer Assistance: Code Optimization,http://cor.esipfed.org/ont/earthcube/SFO_0000072,Functions to improve the efficiency and quality of code.,,,,,,,,,,,,,,,,,,,,,,
Programmer Assistance,Code Validation & Testing,Programmer Assistance: Code Validation & Testing,http://cor.esipfed.org/ont/earthcube/SFO_0000073,"Functions for evaluating and ascertaining the completeness and quality of code, determining if it complies with its requirements, performs functions for which it is intended and meets the organization's goals and user needs.",,,,,,,,,,,,,,,,,,,,,,
